"","Time","createOrder","basket","getCatalogue","getItem","getCart","login","getOrders","catalogue","home","tags","getCustomer","viewOrdersPage","cataloguePage","getRelated","addToCart","catalogueSize","getAddress","getCard","showDetails"
"10","0","0.00","0.00","30.60","4.80","46.20","6.60","5.00","16.60","25.60","11.80","10.20","5.00","10.20","0.40","0.00","13.80","0.00","0.00","2.80"
"11","5","0.00","0.00","18.00","17.60","47.20","2.20","2.40","9.20","16.20","11.80","28.80","2.60","13.80","5.80","0.60","11.00","0.00","0.00","14.80"
"12","10","0.00","1.00","19.60","15.80","41.80","6.40","1.60","6.20","20.80","8.00","25.20","1.40","7.40","13.80","3.80","6.20","0.00","0.20","14.60"
"13","15","0.20","3.20","21.40","15.60","50.20","6.40","2.80","5.60","19.40","4.60","23.20","3.00","5.80","14.00","6.40","5.40","2.00","2.20","11.00"
"14","20","2.20","5.20","21.20","20.60","47.20","2.80","4.00","6.00","14.60","7.40","23.60","4.00","6.80","13.40","4.40","6.20","3.80","5.00","12.20"
"15","25","3.00","4.60","22.40","22.40","43.40","4.00","4.40","5.40","16.80","6.00","25.20","4.80","6.20","9.40","2.00","6.00","6.60","5.40","8.40"
"16","30","5.20","3.00","19.80","25.20","45.80","5.20","7.20","3.40","17.60","3.20","25.40","8.20","4.00","8.80","3.40","3.60","3.20","3.40","8.60"
"17","35","3.60","2.60","20.60","16.80","30.60","3.20","7.00","4.40","18.00","4.80","17.20","6.20","4.20","7.00","3.20","4.20","1.80","1.40","6.80"
"18","40","1.40","1.20","8.60","9.20","6.40","0.60","2.60","1.20","5.20","2.20","8.00","1.60","3.00","2.20","0.20","2.00","1.20","1.00","2.80"
"19","45","0.20","0.00","1.20","1.20","0.00","0.00","0.40","0.20","0.20","0.40","1.40","0.40","0.60","0.00","0.00","0.20","0.00","0.00","0.20"
"20","50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"21","55","0.20","0.60","1.00","2.40","9.40","0.80","0.80","0.40","1.60","0.20","3.40","1.00","0.20","2.00","0.60","0.40","0.40","0.80","1.20"
"22","60","0.80","0.80","4.20","3.00","4.20","0.00","1.00","0.80","2.80","0.60","2.20","1.00","0.60","0.80","0.20","0.40","0.60","0.20","0.80"
"23","65","0.40","0.20","0.80","1.60","1.60","0.20","0.20","0.00","0.60","0.40","1.80","0.20","0.40","0.40","0.00","0.40","0.20","0.20","0.20"
"24","70","0.00","0.00","0.80","0.60","1.00","0.20","0.40","0.00","0.80","0.00","0.60","0.20","0.00","0.40","0.20","0.00","0.00","0.00","0.40"
"25","75","0.00","0.00","0.80","0.00","0.60","0.00","0.00","0.20","0.60","0.00","0.00","0.00","0.00","0.20","0.00","0.20","0.00","0.00","0.00"
"26","80","1.20","0.20","3.60","5.00","17.00","1.40","1.40","2.20","5.40","2.00","6.20","2.00","1.60","2.40","0.20","2.20","1.00","1.00","1.60"
"27","85","1.20","1.20","13.20","8.80","24.60","4.80","2.00","2.40","11.00","1.20","12.60","2.40","1.40","3.80","0.60","1.40","1.40","1.60","3.80"
"28","90","1.00","1.20","10.40","6.20","11.80","0.80","2.40","1.20","9.20","2.40","5.00","2.20","2.00","2.60","0.20","1.80","0.80","0.60","2.00"
"29","95","1.00","0.20","6.80","6.40","18.60","1.60","2.40","2.80","6.40","2.20","8.00","1.80","2.20","1.60","0.60","2.20","0.60","0.60","1.40"
"30","100","0.40","0.60","9.80","6.00","12.40","1.60","1.20","1.60","9.40","2.00","6.00","1.20","2.40","2.60","0.80","2.60","0.40","0.40","2.40"
"31","105","0.40","0.20","5.40","4.00","9.80","0.60","0.60","2.00","3.60","2.20","4.80","0.60","2.00","1.20","0.60","2.00","0.60","0.60","2.60"
"32","110","0.40","0.40","3.40","3.00","4.40","1.80","1.00","0.20","3.40","0.60","3.60","0.80","0.80","1.00","0.40","0.20","0.00","0.00","1.20"
"33","115","0.20","0.60","3.40","2.00","7.20","1.00","0.40","1.40","3.00","0.60","3.20","0.60","0.80","1.80","0.20","1.40","0.00","0.20","1.20"
"34","120","0.00","0.20","2.40","2.00","4.40","0.60","0.40","1.40","1.80","1.80","2.00","0.40","1.60","0.40","0.40","1.00","0.40","0.20","1.40"
"35","125","0.00","0.20","1.00","1.60","2.40","0.20","0.40","0.20","1.00","0.20","3.00","0.20","0.40","0.80","0.40","0.60","0.00","0.00","1.20"
"36","130","0.40","0.00","3.60","2.60","7.40","2.00","1.00","0.60","3.60","0.80","3.20","1.00","0.80","0.40","0.00","0.60","0.40","0.40","1.40"
"37","135","0.20","1.00","6.20","2.60","15.20","2.80","0.40","1.40","7.60","0.80","5.20","0.60","0.60","3.40","0.80","1.00","0.20","0.20","2.00"
